perm,rho_ctl
0,-0.02361632484892877
1,0.0895211499725325
2,0.00853209119208936
3,-0.2514420435817616
4,0.0592153451748764
5,-0.10223631203076358
6,-0.04941860465116279
7,-0.14182956418238415
8,0.11013893975462367
9,-0.09065418421534517
10,0.05894639260208753
11,0.0017052737593847278
12,0.11761238784105477
13,0.2038088262223036
14,0.03980498077275225
15,0.1166567478483794
16,-0.15873351950192272
17,0.05102659769273027
18,-0.07017373191723128
19,0.1354948727339315
20,-0.04032571873283282
21,-0.008806766160043947
22,0.08261421900750779
23,-0.0037195568577183665
24,-0.20573727339315143
25,-0.11494575169382895
26,0.1676604559604468
27,0.01561641640725142
28,-0.17853872917048158
29,-0.2336282274308735
30,0.0021745101629738143
31,0.07331532686321186
32,0.08659700604284928
33,0.015444744552279802
34,-0.10604742721113347
35,-0.13045344259293168
36,-0.2721685588720014
37,-0.04909815052188243
38,0.23021195751693826
39,-0.006002792528840871
40,0.1373603735579564
41,0.061922038088262216
42,-0.14685954953305258
43,0.1290457333821644
44,0.038734892876762496
45,-0.043061023622047244
46,-0.022769410364402123
47,-0.1316837575535616
48,0.24208592748580843
49,-0.10223058963559786
50,-0.22042093938839039
51,-0.031095495330525542
52,-0.11705159311481413
53,0.054625984251968504
54,0.0637245925654642
55,-0.02516709393883904
56,0.06789049624610878
57,-0.22275567661600437
58,0.17067043581761582
59,-0.3550231184764695
60,0.021876716718549714
61,-0.06589910272843802
62,-0.1549452939022157
63,-0.11644501922724777
64,-0.1420012360373558
65,-0.10653955319538545
66,-0.11693714521149973
67,0.1085824482695477
68,-0.16661898004028566
69,-0.10501167368613806
70,0.07599913019593481
71,-0.12220747115912836
72,-0.010815326863211865
73,0.15501968503937005
74,0.03264054202527009
75,-0.03939296832082036
76,-0.22137085698589998
77,-0.11171832082036258
78,-0.14229880058597325
79,0.06959004761032778
80,0.08230520966855887
81,0.1858061710309467
82,-0.14062786119758286
83,-0.13619300494414943
84,0.10553813404138436
85,0.13096845815784655
86,-0.1411142647866691
87,-0.07017373191723128
88,0.12122894158579013
89,0.11682841970335103
90,-0.054975050357077455
91,0.1799864951474089
92,0.006145852407983885
93,-0.11791567478483793
94,0.09519776597692729
95,-0.12347784288591832
96,-0.08887451931880609
97,0.08299189708844534
98,0.13443050723310748
99,-0.06395348837209303
100,-0.04921259842519684
101,0.024262955502655188
102,-0.06789049624610878
103,0.10691150888115729
104,0.02835446804614539
105,-0.2985888573521333
106,0.03986792711957517
107,-0.01095838674235488
108,-0.14755768174327044
109,0.22465551181102358
110,-0.1474890130012818
111,-0.10652238600988831
112,-0.24007736678264055
113,-0.24458661417322833
114,-0.24319034975279247
115,-0.12814159494598057
116,-0.11146081303790514
117,-0.08274583409631936
118,0.03382507782457425
119,0.008812488555209668
120,0.011078557040835012
121,0.09540377220289323
122,-0.15067066471342244
123,-0.28531290056766156
124,0.26841466764328875
125,0.107552417139718
126,-0.021407480314960627
127,-0.12172678996520782
128,0.08902330159311482
129,0.16119414942318255
130,-0.017115683940670205
131,0.13916865043032411
132,-0.09369849844350851
133,-0.16297953671488738
134,0.17547724775682108
135,-0.21164850759934078
136,-0.13483679728987363
137,-0.006821095037538911
138,0.10599020325947629
139,-0.029075489837026184
140,0.06794199780260025
141,0.039227018861014464
142,-0.07939823292437283
143,-0.22111334920344258
144,-0.17860739791247024
145,0.1563644479033144
146,0.08398759384728072
147,0.04144158579014832
148,-0.07953557040835012
149,0.0746600897271562
150,-0.05121543673319904
151,0.03605108954403955
152,0.037470243545138254
153,0.13811572971983152
154,0.060909174143929684
155,0.03898095586888848
156,0.03421992309100898
157,0.10330639992675333
158,-0.2172335652810841
159,0.07255424830617102
160,0.003313266800952206
161,0.1364905694927669
162,-0.060748947079289496
163,-0.11766961179271195
164,-0.15329152169932247
165,-0.29197949093572606
166,-0.16958890313129463
167,-0.038614722578282364
168,0.0647031221388024
169,0.040188381248855515
170,0.06821095037538913
171,0.15684512909723491
172,0.0995124519318806
173,-0.21592885918329974
174,0.20400911005310382
175,0.05088353781358725
176,-0.0710435359824208
177,0.09072285295733382
178,-0.013813861930049439
179,0.021384590734297746
180,-0.0667860739791247
181,0.060479994506500635
182,0.1341844442409815
183,0.11983267716535433
184,-0.0661737776963926
185,0.017150018311664527
186,-0.10248237502288958
187,0.07258858267716535
188,-0.14973219190624426
189,-0.10573269547701886
190,0.08220792895074162
191,0.0401540468778612
192,-0.05464887383263138
193,-0.09496887017029847
194,0.06579037722028933
195,-0.06632828236586705
196,-0.08866279069767442
197,-0.05555873466398095
198,0.26407136971250683
199,0.019759430507233108
